TITLE,ARTIST,GENRE,YEAR,BPM,ENERGY,dB,DURATION,SPEECH,POPULARITY
Love Yourself,Justin Bieber,canadian pop,2015,100,38,-10,234,44,83
Sorry,Justin Bieber,canadian pop,2015,100,76,-4,201,5,81
What Do You Mean?,Justin Bieber,canadian pop,2015,125,57,-8,206,10,79
Company,Justin Bieber,canadian pop,2015,95,80,-5,208,6,72
I'll Show You,Justin Bieber,canadian pop,2015,192,61,-7,200,10,68
The Feeling,Justin Bieber,canadian pop,2015,127,81,-6,245,6,67
What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125,36,-11,204,4,64
Mark My Words,Justin Bieber,canadian pop,2015,114,26,-9,134,3,63
Been You,Justin Bieber,canadian pop,2015,113,78,-6,199,7,60
Love Yourself,Justin Bieber,canadian pop,2016,100,38,-10,234,44,83
Company,Justin Bieber,canadian pop,2016,95,80,-5,208,6,72
Friends (with BloodPop®),Justin Bieber,canadian pop,2018,105,73,-5,189,4,77
Suit & Tie,Justin Timberlake,dance pop,2013,102,60,-4,326,22,68
Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,60,-6,277,5,60
TKO,Justin Timberlake,dance pop,2013,138,68,-7,424,24,58
Take Back the Night,Justin Timberlake,dance pop,2013,107,66,-5,353,16,54
Not a Bad Thing,Justin Timberlake,dance pop,2014,86,73,-6,266,6,0
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,-6,236,7,79
Say Something,Justin Timberlake,dance pop,2018,97,63,-7,279,8,74
Filthy,Justin Timberlake,dance pop,2018,97,58,-6,294,14,62
Supplies,Justin Timberlake,dance pop,2018,120,55,-7,226,5,57
Monster,Kanye West,chicago rap,2011,125,69,-6,379,20,73
Teenage Dream,Katy Perry,dance pop,2010,120,80,-5,228,4,63
California Gurls,Katy Perry,dance pop,2010,125,75,-4,235,5,62
E.T.,Katy Perry,dance pop,2011,152,87,-5,230,18,66
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126,81,-4,231,4,27
Firework,Katy Perry,dance pop,2011,124,83,-5,228,5,25
Part Of Me,Katy Perry,dance pop,2012,130,92,-5,216,4,71
Wide Awake,Katy Perry,dance pop,2012,160,68,-5,221,4,68
The One That Got Away,Katy Perry,dance pop,2012,134,80,-4,227,4,67
Roar,Katy Perry,dance pop,2013,180,77,-5,224,4,78
Dark Horse,Katy Perry,dance pop,2014,132,59,-6,216,5,78
This Is How We Do,Katy Perry,dance pop,2014,96,64,-6,204,5,66
Birthday,Katy Perry,dance pop,2014,126,67,-5,215,7,65
Legendary Lovers,Katy Perry,dance pop,2015,126,84,-5,224,8,41
Rise,Katy Perry,dance pop,2016,101,64,-6,203,5,66
Swish Swish,Katy Perry,dance pop,2017,120,71,-5,243,4,73
Chained To The Rhythm,Katy Perry,dance pop,2017,190,80,-5,238,17,72
Bon appétit,Katy Perry,dance pop,2017,106,79,-6,228,6,68
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,-4,222,5,74
Underneath the Tree,Kelly Clarkson,dance pop,2013,160,81,-5,230,5,88
People Like Us,Kelly Clarkson,dance pop,2013,128,79,-5,259,4,45
Heartbeat Song,Kelly Clarkson,dance pop,2015,149,80,-4,199,5,69
Run Run Run,Kelly Clarkson,dance pop,2015,112,37,-7,273,4,36
Freak,Kelly Rowland,atl hip hop,2013,104,78,-5,274,6,28
TiK ToK,Kesha,dance pop,2010,120,84,-3,200,14,80
Your Love Is My Drug,Kesha,dance pop,2010,120,61,-4,187,10,69
Take It Off,Kesha,dance pop,2010,125,68,-5,215,3,66
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120,84,-3,172,12,62
We R Who We R,Kesha,dance pop,2011,120,82,-5,205,4,72
Blow,Kesha,dance pop,2011,120,73,-4,220,4,64
Die Young,Kesha,dance pop,2013,128,70,-5,212,5,75
Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128,75,-4,229,4,46
Praying,Kesha,dance pop,2017,73,39,-7,230,3,77
Talk (feat. Disclosure),Khalid,alternative r&b,2019,136,40,-9,198,13,84
It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,53,-7,221,7,79
First Time,Kygo,edm,2017,90,59,-7,194,11,71
First Time,Kygo,edm,2018,90,59,-7,194,11,71
Higher Love,Kygo,edm,2019,104,68,-7,228,3,88
Beneath Your Beautiful,Labrinth,pop,2013,84,52,-6,272,4,70
Bad Romance,Lady Gaga,dance pop,2010,119,92,-4,295,4,79
Telephone,Lady Gaga,dance pop,2010,122,83,-6,221,4,73
