TITLE,ARTIST,GENRE,YEAR,BPM,ENERGY,dB,DURATION,SPEECH,POPULARITY,INDEX
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,156,60,-6,292,5,55,246
Ain't Your Mama,Jennifer Lopez,dance pop,2016,120,68,-6,218,23,72,247
Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120,82,-3,211,3,52,248
Price Tag,Jessie J,australian pop,2011,175,83,-4,223,18,72,249
Domino,Jessie J,australian pop,2012,127,55,-5,232,3,69,250
Bang Bang,Jessie J,australian pop,2015,150,75,-4,199,9,61,251
Foolish Games,Jewel,alaska indie,2013,132,34,-11,250,3,36,252
Picky - Remix,Joey Montana,latin,2016,186,81,-3,225,7,29,253
All of Me,John Legend,neo mellow,2014,120,26,-7,270,3,86,254
Start,John Legend,neo mellow,2016,110,4,-15,310,4,47,255
Love Me Again,John Newman,pop,2014,126,89,-5,240,4,73,256
Mama,Jonas Blue,dance pop,2017,104,79,-4,184,4,75,257
Pom Poms,Jonas Brothers,boy band,2013,148,98,-2,198,9,52,258
Only Human,Jonas Brothers,boy band,2019,94,50,-6,183,7,87,259
Sucker,Jonas Brothers,boy band,2019,138,73,-5,181,6,86,260
Baby,Justin Bieber,canadian pop,2010,65,86,-5,214,14,77,261
Beauty And A Beat,Justin Bieber,canadian pop,2012,128,84,-5,228,6,72,262
Boyfriend,Justin Bieber,canadian pop,2012,97,55,-6,171,5,71,263
Heartbreaker,Justin Bieber,canadian pop,2013,105,52,-7,263,10,61,264
Love Yourself,Justin Bieber,canadian pop,2015,100,38,-10,234,44,83,265
Sorry,Justin Bieber,canadian pop,2015,100,76,-4,201,5,81,266
What Do You Mean?,Justin Bieber,canadian pop,2015,125,57,-8,206,10,79,267
Company,Justin Bieber,canadian pop,2015,95,80,-5,208,6,72,268
I'll Show You,Justin Bieber,canadian pop,2015,192,61,-7,200,10,68,269
The Feeling,Justin Bieber,canadian pop,2015,127,81,-6,245,6,67,270
What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125,36,-11,204,4,64,271
Mark My Words,Justin Bieber,canadian pop,2015,114,26,-9,134,3,63,272
Been You,Justin Bieber,canadian pop,2015,113,78,-6,199,7,60,273
Love Yourself,Justin Bieber,canadian pop,2016,100,38,-10,234,44,83,274
Company,Justin Bieber,canadian pop,2016,95,80,-5,208,6,72,275
Friends (with BloodPop®),Justin Bieber,canadian pop,2018,105,73,-5,189,4,77,276
Suit & Tie,Justin Timberlake,dance pop,2013,102,60,-4,326,22,68,277
Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,60,-6,277,5,60,278
TKO,Justin Timberlake,dance pop,2013,138,68,-7,424,24,58,279
Take Back the Night,Justin Timberlake,dance pop,2013,107,66,-5,353,16,54,280
Not a Bad Thing,Justin Timberlake,dance pop,2014,86,73,-6,266,6,0,281
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,-6,236,7,79,282
Say Something,Justin Timberlake,dance pop,2018,97,63,-7,279,8,74,283
Filthy,Justin Timberlake,dance pop,2018,97,58,-6,294,14,62,284
Supplies,Justin Timberlake,dance pop,2018,120,55,-7,226,5,57,285
Monster,Kanye West,chicago rap,2011,125,69,-6,379,20,73,286
Teenage Dream,Katy Perry,dance pop,2010,120,80,-5,228,4,63,287
California Gurls,Katy Perry,dance pop,2010,125,75,-4,235,5,62,288
E.T.,Katy Perry,dance pop,2011,152,87,-5,230,18,66,289
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126,81,-4,231,4,27,290
Firework,Katy Perry,dance pop,2011,124,83,-5,228,5,25,291
Part Of Me,Katy Perry,dance pop,2012,130,92,-5,216,4,71,292
Wide Awake,Katy Perry,dance pop,2012,160,68,-5,221,4,68,293
The One That Got Away,Katy Perry,dance pop,2012,134,80,-4,227,4,67,294
Roar,Katy Perry,dance pop,2013,180,77,-5,224,4,78,295
Dark Horse,Katy Perry,dance pop,2014,132,59,-6,216,5,78,296
This Is How We Do,Katy Perry,dance pop,2014,96,64,-6,204,5,66,297
Birthday,Katy Perry,dance pop,2014,126,67,-5,215,7,65,298
Legendary Lovers,Katy Perry,dance pop,2015,126,84,-5,224,8,41,299
Rise,Katy Perry,dance pop,2016,101,64,-6,203,5,66,300
Swish Swish,Katy Perry,dance pop,2017,120,71,-5,243,4,73,301
Chained To The Rhythm,Katy Perry,dance pop,2017,190,80,-5,238,17,72,302
Bon appétit,Katy Perry,dance pop,2017,106,79,-6,228,6,68,303
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,-4,222,5,74,304
Underneath the Tree,Kelly Clarkson,dance pop,2013,160,81,-5,230,5,88,305
People Like Us,Kelly Clarkson,dance pop,2013,128,79,-5,259,4,45,306
Heartbeat Song,Kelly Clarkson,dance pop,2015,149,80,-4,199,5,69,307
Run Run Run,Kelly Clarkson,dance pop,2015,112,37,-7,273,4,36,308
Freak,Kelly Rowland,atl hip hop,2013,104,78,-5,274,6,28,309
TiK ToK,Kesha,dance pop,2010,120,84,-3,200,14,80,310
Your Love Is My Drug,Kesha,dance pop,2010,120,61,-4,187,10,69,311
Take It Off,Kesha,dance pop,2010,125,68,-5,215,3,66,312
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120,84,-3,172,12,62,313
We R Who We R,Kesha,dance pop,2011,120,82,-5,205,4,72,314
Blow,Kesha,dance pop,2011,120,73,-4,220,4,64,315
Die Young,Kesha,dance pop,2013,128,70,-5,212,5,75,316
