TITLE,ARTIST,GENRE,YEAR,BPM,ENERGY,dB,DURATION,SPEECH,POPULARITY,TITLE-PIE,ARTIST-PIE,GENRE-PIE,YEAR-PIE,BPM-PIE,ENERGY-PIE,dB-PIE,DURATION-PIE,SPEECH-PIE,POPULARITY-PIE
I Like It,Cardi B,pop,2018,136,73,-4,253,13,85,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Drip (feat. Migos),Cardi B,pop,2018,130,59,-8,264,26,45,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,Other
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,-7,193,4,76,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,Other
I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,81,-5,205,4,66,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
Run Away With Me,Carly Rae Jepsen,canadian pop,2016,119,72,-6,251,5,63,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
Higher,Carly Rae Jepsen,canadian pop,2016,114,87,-5,234,6,46,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017,115,91,-3,208,6,69,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,2017,167,50,-9,180,12,59,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,2018,100,64,-5,186,9,64,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop,2014,92,81,-4,169,6,50,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop,2016,91,69,-5,192,4,41,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017,100,82,-5,218,22,59,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
Attention,Charlie Puth,dance pop,2018,100,61,-5,209,5,83,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
Yeah 3x,Chris Brown,dance pop,2011,130,88,-3,242,4,69,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
Turn Up the Music,Chris Brown,dance pop,2012,130,84,-6,228,10,65,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
No Guidance (feat. Drake),Chris Brown,dance pop,2019,93,45,-7,261,15,81,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164,41,-5,264,3,61,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150,85,-4,185,27,58,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
You Lost Me,Christina Aguilera,dance pop,2010,43,39,-6,257,4,56,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
Not Myself Tonight,Christina Aguilera,dance pop,2010,120,81,-5,186,4,55,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
Genie In a Bottle,Christina Aguilera,dance pop,2015,176,80,-7,218,16,72,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
Change,Christina Aguilera,dance pop,2016,82,54,-6,187,8,54,Other,Other,canadian pop,Other,Other,Other,-4,Other,Other,78
A Thousand Years,Christina Perri,dance pop,2011,139,41,-7,285,3,81,Other,Other,canadian pop,Other,130,Other,-4,Other,Other,78
Jar of Hearts,Christina Perri,dance pop,2011,75,35,-6,247,3,50,Other,Other,canadian pop,Other,130,Other,-4,Other,Other,78
human,Christina Perri,dance pop,2014,144,49,-6,251,4,68,Other,Other,canadian pop,Other,130,Other,-4,Other,Other,78
Overdose,Ciara,dance pop,2013,107,70,-6,227,3,43,Other,Other,canadian pop,Other,130,Other,-4,Other,Other,78
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121,59,-7,228,4,73,Other,Other,canadian pop,Other,130,Other,-4,Other,Other,78
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2017,102,76,-4,251,5,78,Other,Other,canadian pop,Other,130,Other,-4,Other,Other,78
Reggaetón Lento (Remix),CNCO,boy band,2017,94,91,-3,189,9,71,Other,Other,canadian pop,Other,130,Other,-4,Other,Other,78
Paradise,Coldplay,permanent wave,2012,140,59,-7,279,3,79,Other,Other,canadian pop,Other,130,Other,-4,Other,Other,78
Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay,permanent wave,2013,136,45,-8,236,3,55,Other,Other,canadian pop,Other,130,Other,-4,Other,Other,Other
A Sky Full of Stars,Coldplay,permanent wave,2014,125,68,-6,268,3,60,Other,Other,canadian pop,Other,130,Other,-4,Other,Other,Other
A L I E N S,Coldplay,permanent wave,2017,148,88,-5,282,4,41,Other,Other,canadian pop,Other,130,Other,-4,Other,Other,Other
Con Calma - Remix,Daddy Yankee,latin,2019,94,87,-3,181,5,76,Other,Other,canadian pop,Other,130,Other,-4,Other,Other,Other
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,81,-9,248,4,77,Other,Other,canadian pop,Other,130,Other,-4,Other,Other,Other
Lose Yourself to Dance,Daft Punk,electro,2013,100,66,-8,354,6,72,Other,Other,Other,Other,130,Other,-4,Other,Other,Other
Tequila,Dan + Shay,contemporary country,2018,86,59,-6,196,3,76,Other,Other,Other,Other,130,Other,-4,Other,Other,Other
Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130,63,-5,196,5,61,Other,Other,Other,Other,130,Other,-4,Other,Other,Other
Without You (feat. Usher),David Guetta,dance pop,2011,128,61,-4,208,3,68,Other,Other,Other,Other,130,Other,-4,Other,Other,Other
Titanium (feat. Sia),David Guetta,dance pop,2012,126,79,-4,245,10,80,Other,Other,Other,Other,130,Other,-4,Other,Other,Other
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,130,87,-3,209,4,67,Other,Other,Other,Other,130,Other,-4,Other,Other,Other
